,Medicine Name,Uses,Side_effects
108,Sebotar-S Soap,Psoriasis,Application site irritation Dry skin
109,Soralen Forte 25mg Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
110,Soronil 0.005% Ointment,Psoriasis,Dry skin Skin irritation Itching Burning sensation Stinging sensation Rash
111,Salen Capsule,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
112,Salizer Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
113,Topisal 6% Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
114,Topisal 6% Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
115,Topisal 3% Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
116,Topisal 3% Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
117,Tazret Gel,Psoriasis Acne,Dry skin Erythema skin redness Itching Skin burn Skin irritation Skin peeling
118,Trimop Forte Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
119,Topisal 3% Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
120,Tazret Forte Cream,Psoriasis Acne,Dry skin Erythema skin redness Itching Skin burn Skin irritation Skin peeling
121,Topisal 6% Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
122,Trexjoy Gel,Psoriasis,No common side effects seen
123,Trimop Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
124,Topsor S Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
125,Tretoact 25 Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
126,Troid 5mg Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
127,Trilen Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
128,Taxalic Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
129,Ultitar CS Lotion,Psoriasis,Thinning of skin Dry skin Application site reactions burning irritation itching and redness
130,Ultravex S6 Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
131,Ultitar CS Ointment,Psoriasis,Thinning of skin Dry skin Application site reactions burning irritation itching and redness
132,Ultravex S3 Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
133,Zincoderm-S Ointment,Eczema Psoriasis,Thinning of skin Dry skin Application site reactions burning irritation itching and redness
134,Aldosmin 500mg Tablet,Varicose veins,Diarrhea Dizziness Hives Itching Nausea Erythema skin redness Stomach pain
135,Aldosmin 1000mg Tablet,Varicose veins,Diarrhea Dizziness Hives Itching Nausea Erythema skin redness Stomach pain
136,Asklerol 3% Injection,Varicose veins,Injection site pain Pain in extremities Thrombophlebitis
137,Dobest Capsule,Varicose veins,Skin rash Fever Nausea Vomiting
138,Doberol Capsule,Varicose veins,Skin rash Fever Nausea Vomiting
139,Logisil Capsule,Varicose veins,Skin rash Fever Nausea Vomiting
140,Osil Capsule,Varicose veins,Skin rash Fever Nausea Vomiting
141,Pinodin Tablet,Varicose veins,Nausea Allergic reaction Dizziness Headache Indigestion
142,Pinodin-TX Plus Tablet,Varicose veins,Diarrhea Nausea Vomiting Headache
143,Ubicar Cream,Varicose veins,No common side effects seen Abdominal pain Diarrhea Headache Nausea
144,Venusmin 300 Tablet,Varicose veins,Abdominal pain Diarrhea Headache Nausea
145,Venusmin 900 Tablet,Varicose veins,Abdominal pain Diarrhea Headache Nausea
146,Venusmin 150 Tablet,Varicose veins,Abdominal pain Diarrhea Headache Nausea
147,Venosuf Capsule,Varicose veins,Skin rash Fever Nausea Vomiting
148,Mahacef-Plus 100 Tablet,Typhoid fever,Loss of appetite Allergy
149,Office 100 mg/100 mg Tablet,Typhoid fever,Loss of appetite Allergy
150,Peda Typh Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Headache Tiredness Fever Nausea
151,Typbar TCV Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Feeling of discomfort Nausea Diarrhea Fever Headache
152,Typbar Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Feeling of discomfort Nausea Diarrhea Fever Headache
153,Typbar-PFS Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Headache Tiredness Fever Nausea
154,Vactyph Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Headache Tiredness Fever Nausea
155,Vactyph Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Headache Tiredness Fever Nausea
156,Zenflox-Plus 100 Tablet,Typhoid fever,Loss of appetite Allergy
157,Zyvac Tcv-PFS Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Feeling of discomfort Nausea Diarrhea Fever Headache
158,Acivir 400 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
159,Acivir 800 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
160,Acivir 200 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
161,Acivir IV Injection,Herpes Simplex Virus Infections Chickenpox Shingles Herpes labialis Genital herpes infection,Vomiting Nausea Injection site reaction Increased liver enzymes
162,Biovac V Vaccine,Prevention of Chickenpox,Injection site reactions pain swelling redness Fever Rash
163,Herpikind 400 Tablet DT,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
164,Herpikind 800mg Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
165,Herperax 400 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
166,Herperax 800 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
167,Herpex 200mg Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
168,Herpikind 200 Tablet DT,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
169,Nexipox Vaccine,Prevention of Chickenpox,Injection site reactions pain swelling redness Fever Rash
170,Ocuvir 400 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
171,Ocuvir 800 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
172,Ocuvir SR 1.2gm Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
173,Ocuvir 200 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
174,Variped Vaccine,Prevention of Chickenpox,Injection site reactions pain swelling redness Fever Rash
175,Varivax Vaccine,Prevention of Chickenpox,Injection site reactions pain swelling redness Fever Rash
176,Zoster 800 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
177,Zovirax 400 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
178,Zovirax Suspension,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
179,Zovirax 800 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
180,Zoster 400mg Tablet DT,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
181,Zovirax 200 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
182,Zuvicella Vaccine,Prevention of Chickenpox,Injection site reactions pain swelling redness Fever Rash
183,AF 400 Tablet,Fungal infections,Headache Nausea Stomach pain
184,AF 150 Tablet DT,Fungal infections,Headache Nausea Stomach pain
185,Abzorb Antifungal Soap,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
186,Arcolane 2% Scalp Solution,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
187,Amrolstar Nail Lacquer,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
188,Amrolstar Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
189,AF 200 Tablet,Fungal infections,Headache Nausea Stomach pain
190,AF-K Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
191,Alcros 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
192,Amrosys Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
193,Alcros 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
194,AF 300 Tablet,Fungal infections,Headache Nausea Stomach pain
195,Amrolstar Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
196,AF 50 Tablet DT,Fungal infections,Headache Nausea Stomach pain
197,Amortas Cream,Fungal infections,Limited data available
198,Amrobrut Cream,Fungal infections,Limited data available
199,Amfy V  Vaginal gel,Fungal infections of vagina,No common side effects seen Nausea Vomiting Chills Headache Anemia low number of red blood cells Decreased potassium level in blood Abnormal liver function tests Decreased magnesium level in blood Diarrhea Decreased appetite Hypotension low blood pressure Skin rash Nephrocalcinosis Increased creatinine level in blood Abnormal renal function tests Renal tubular acidosis
200,Amorfine Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
201,Amfy Gel,Fungal skin infections,Application site reactions burning irritation itching and redness
202,Amonext Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
203,Amluck Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
204,Amrolmac Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
205,Amoron Cream,Fungal infections,Limited data available
206,Amrolstar Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
207,Amrobrut Cream,Fungal infections,Limited data available
208,Amfocin Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
209,Amortive Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
210,AF-K Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
211,Amrosys Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
212,Apexitra 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
213,Apexitra 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
214,Amoreal Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
215,Amortas Cream,Fungal infections,Limited data available
216,Altispor 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
217,Abzorb Syndet Bar,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
218,Af-ter Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
219,Amluck Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
220,Afitra 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
221,Anti Druf Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
222,Amocop Cream,Fungal infections,Limited data available
223,Acvaketo Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
224,Amfy Gel,Fungal skin infections,Application site reactions burning irritation itching and redness
225,Amortive Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
226,Af-ter Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
227,Afitra 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
228,Azolbest-KT Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
229,Afitra Cream,Fungal skin infections,Application site reactions burning irritation itching and redness
230,Afitra-L Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
