,Medicine Name,Uses,Side_effects
16,Augmentin Duo Oral Suspension,Bacterial infections,"Abdominal pain, Allergy, Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
17,Albendazole 400mg Tablet,Parasitic infections,"Vomiting, Dizziness, Increased liver enzymes, Nausea, Loss of appetite"
18,Arkamin Tablet,Hypertension ,"Dryness in mouth, Fatigue, Dizziness, Headache, Nausea, Sleepiness, Insomnia difficulty in sleeping"
19,Allegra 180mg Tablet,Sneezing and runny nose due to allergies,"Headache, Drowsiness, Dizziness, Nausea"
19,Allegra 180mg Tablet,Allergic conditions,"Headache, Drowsiness, Dizziness, Nausea"
20,Altraday Capsule SR,Pain relief,"Nausea, Flatulence, Indigestion, Diarrhea, Constipation"
21,Atarax 10mg Tablet,Anxiety,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
21,Atarax 10mg Tablet,Skin conditions with inflammation & itching,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
22,Aldigesic-SP Tablet,Pain relief,"Nausea, Vomiting, Stomach pain, Indigestion, Heartburn, Loss of appetite, Diarrhea"
23,Aldactone Tablet,"Hypertension , Edema, Low potassium, Heart failure","Nausea, Vomiting, Leg cramps, Dizziness, Drowsiness, Confusion, Breast enlargement in male, Increased creatinine level in blood"
24,Aricep 10 Tablet,Alzheimer's disease,"Common cold, Urinary incontinence, Rash, Nausea, Diarrhea, Insomnia difficulty in sleeping, Weight loss, Accidental injury"
25,Aricep-M  Tablet,Alzheimer's disease,"Nausea, Vomiting, Loss of appetite, Diarrhea, Headache, Dizziness, Bleeding under the skin"
26,Andre I-Kul Eye Drop,Allergic eye disease,"Eye pain, Eye irritation, Stinging in the eyes, Blurred vision, Photophobia"
27,Anafortan 25 mg/300 mg Tablet,Abdominal pain,"Dryness in mouth, Constipation, Blurred vision, Increased heart rate"
28,Atarax Syrup,Anxiety,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
28,Atarax Syrup,Skin conditions with inflammation & itching,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
29,Ambrodil-S Syrup,Cough,"Headache, Palpitations, Upset stomach, Tremors, Muscle cramp, Allergic reaction, Increased heart rate"
30,Asthakind-DX Syrup Sugar Free,Dry cough,"Nausea, Vomiting, Loss of appetite, Headache"
31,Aceclo Plus Tablet,Pain relief,"Nausea, Vomiting, Stomach pain epigastric pain, Loss of appetite, Heartburn, Diarrhea"
32,Althrocin 500 Tablet,Bacterial infections,"Vomiting, Nausea, Abdominal pain, Diarrhea"
33,Asthalin Syrup,"Chronic obstructive pulmonary disease , Treatment and prevention of, Asthma","Tremors, Headache, Palpitations, Increased heart rate, Muscle cramp, Nervousness"
34,Axcer  90mg Tablet,,"Bleeding, Breathlessness"
34,Axcer  90mg Tablet,heart attack and stroke,"Bleeding, Breathlessness"
35,Arachitol 6L Injection,"Vitamin, D deficiency","Injection site reactions pain swelling redness, Weakness, Muscle pain, Metallic taste"
35,Arachitol 6L Injection,Osteoporosis,"Injection site reactions pain swelling redness, Weakness, Muscle pain, Metallic taste"
36,Alfoo 10mg Tablet PR,Benign prostatic hyperplasia,"Upper respiratory tract infection, Dizziness, Headache, Nausea, Abdominal pain, Impotence"
37,Azithral 200 Liquid,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
38,Acemiz Plus Tablet,Pain relief,"Nausea, Vomiting, Stomach pain epigastric pain, Loss of appetite, Heartburn, Diarrhea"
39,Allegra Suspension Raspberry &amp; Vanilla,Sneezing and runny nose due to allergies,"Headache, Drowsiness, Dizziness, Nausea"
39,Allegra Suspension Raspberry &amp; Vanilla,Allergic conditions,"Headache, Drowsiness, Dizziness, Nausea"
40,Alex Junior Syrup,Dry cough,"Upset stomach, Sleepiness"
41,Azicip 500 Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
42,Avil Injection,Allergic conditions,Sedation
42,Avil Injection,Respiratory disease with excessive mucus,Sedation
42,Avil Injection,"Skin conditions with inflammation & itching, Treatment and prevention of, Meniere's disease",Sedation
43,Aquasol A Capsule,"Vitamin, A deficiency",No common side effects seen
44,Anobliss Cream,Anal fissure,Anal irritation
45,Augmentin DDS Suspension,"Resistant, Tuberculosis ","Abdominal pain, Allergy, Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
45,Augmentin DDS Suspension,Bacterial infections,"Abdominal pain, Allergy, Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
46,Almox 500 Capsule,Bacterial infections,"Nausea, Diarrhea, Skin rash, Vomiting"
47,AF Kit Tablet,Syndromic treatment of vaginal discharge,"Taste change, Vomiting, Headache, Dizziness, Stomach pain, Nausea, Indigestion, Diarrhea, Loss of appetite"
48,Ascoril LS Junior Syrup,Cough with mucus,"Nausea, Vomiting, Diarrhea, Upset stomach, Stomach pain, Allergic reaction, Dizziness, Headache, Rash, Hives, Tremors, Palpitations, Muscle cramp, Increased heart rate"
49,Asthalin 100mcg Inhaler,"Chronic obstructive pulmonary disease , Treatment and prevention of, Asthma","Tremors, Headache, Palpitations, Increased heart rate, Muscle cramp, Respiratory tract inflammation, Respiratory tract infection, Cough"
50,Aptimust Syrup,Appetite stimulant,"Constipation, Dryness in mouth, Drowsiness, Sleepiness, Blurred vision"
51,AB Phylline Capsule,Asthma,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
51,AB Phylline Capsule,Bronchitis,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
51,AB Phylline Capsule,Chronic obstructive pulmonary disease ,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
52,Azee 200mg Dry Syrup,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
53,Adaferin Gel,Acne,"Erythema skin redness, Dry skin, Skin peeling, Skin burn, Itching"
54,Amitone 10mg Tablet,"Depression, Neuropathic pain","Constipation, Dryness in mouth, Orthostatic hypotension sudden lowering of blood pressure on standing, Weight gain, Aggressive behavior, Nasal congestion stuffy nose, Sleepiness, Dizziness, Headache, Decreased libido, Nausea, Fatigue, Confusion, Tremors, Speech disorder, Palpitations, Taste change, Paresthesia tingling or pricking sensation, Abnormality of voluntary movements, Loss of accommodation, Atrioventricular block, Micturition disorders, Erectile dysfunction, Abnormal, E, C, G, Decreased sodium level in blood"
54,Amitone 10mg Tablet,Migraine,"Constipation, Dryness in mouth, Orthostatic hypotension sudden lowering of blood pressure on standing, Weight gain, Aggressive behavior, Nasal congestion stuffy nose, Sleepiness, Dizziness, Headache, Decreased libido, Nausea, Fatigue, Confusion, Tremors, Speech disorder, Palpitations, Taste change, Paresthesia tingling or pricking sensation, Abnormality of voluntary movements, Loss of accommodation, Atrioventricular block, Micturition disorders, Erectile dysfunction, Abnormal, E, C, G, Decreased sodium level in blood"
55,Ambrodil Syrup,Respiratory tract disorders associated with viscid mucus,"Vomiting, Nausea, Upset stomach"
56,AB-Flo-N Tablet,Chronic obstructive pulmonary disease ,"Vomiting, Heartburn, Stomach pain, Upset stomach, Rash, Hives, Itching, Breathing problems, Nasal inflammation, Increased white blood cell count"
57,Ascoril LS Drops,"Acute, Sore throat","Vomiting, Diarrhea, Excessive salivation, Fatigue, Headache, Dizziness, Rash, Numbness of extremity, Nausea, Increased heart rate, Stomach discomfort, Palpitations, Tremors, Muscle cramp"
57,Ascoril LS Drops,Cough with mucus,"Vomiting, Diarrhea, Excessive salivation, Fatigue, Headache, Dizziness, Rash, Numbness of extremity, Nausea, Increased heart rate, Stomach discomfort, Palpitations, Tremors, Muscle cramp"
58,Alex Cough Lozenges Lemon Ginger,Dry cough,"Sleepiness, Dizziness, Confusion, Nausea"
59,Atorva 40 Tablet,High cholesterol,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
59,Atorva 40 Tablet,Heart attack,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
60,Aziderm 20% Cream,Acne,Application site reactions burning irritation itching and redness
61,Ascoril D Junior Cough Syrup,Dry cough,"Nausea, Vomiting, Loss of appetite, Headache"
62,Acogut Tablet,Functional dyspepsia,"Headache, Diarrhea"
63,Augmentin 1000 Duo Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
64,Ano Metrogyl Cream,Anal fissure,"Burning sensation, Tingling, Rash"
65,Angispan - TR 2.5mg Capsule,Angina ,"Blurred vision, Decreased blood pressure, Dizziness, Headache, Increased heart rate, Lightheadedness, Paresthesia tingling or pricking sensation"
66,Apdrops Eye Drop,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
67,Acivir 400 DT Tablet,"Herpes, Simplex, Virus, Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection","Headache, Dizziness, Vomiting, Nausea, Fatigue, Fever, Stomach pain, Diarrhea, Skin rash, Photophobia"
68,Acivir Cream,Herpes labialis,Application site reactions burning irritation itching and redness
69,Avil Injection,Allergic conditions,Sedation
69,Avil Injection,Respiratory disease with excessive mucus,Sedation
69,Avil Injection,"Skin conditions with inflammation & itching, Treatment and prevention of, Meniere's disease",Sedation
70,Azee 250 Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
71,Aldigesic P 100mg/325mg Tablet,Pain relief,"Nausea, Vomiting, Stomach pain epigastric pain, Loss of appetite, Heartburn, Diarrhea"
72,Acitrom 2 Tablet,"Treatment and prevention of, Blood clots",Hemorrhage
73,Alerid Syrup,Allergic conditions,"Nausea, Muscle pain, Edema swelling, Sleepiness, Fatigue, Vomiting, Dryness in mouth, Headache, Constipation"
74,Atorva Tablet,High cholesterol,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
74,Atorva Tablet,Heart attack,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
75,Azax 500 Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
76,Aztor 10 Tablet,High cholesterol,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
76,Aztor 10 Tablet,Heart attack,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
77,Alciflox D Eye/Ear Drops,Bacterial eye / ear infections,"Application site reactions burning irritation itching and redness, Eye discomfort, Corneal deposits, Ocular hyperemia, Taste change, Ear discomfort, Ear pain"
77,Alciflox D Eye/Ear Drops,Eye infection with inflammation,"Application site reactions burning irritation itching and redness, Eye discomfort, Corneal deposits, Ocular hyperemia, Taste change, Ear discomfort, Ear pain"
78,Amifru 40 Tablet,Edema,"Nausea, Vomiting, Diarrhea, Weakness, Headache, Dehydration, Muscle cramp, Decreased sodium level in blood, Decreased magnesium level in blood, Decreased calcium level in blood, Increased blood uric acid"
79,Aciloc 300 Tablet,Gastroesophageal reflux disease ,"Headache, Diarrhea, Gastrointestinal disturbance"
79,Aciloc 300 Tablet,Peptic ulcer disease,"Headache, Diarrhea, Gastrointestinal disturbance"
80,Augmentin 1.2gm Injection,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
81,Asthakind Expectorant Sugar Free,Cough with mucus,"Nausea, Diarrhea, Bloating, Indigestion, Vomiting, Stomach pain, Sweating, Dizziness, Headache, Skin rash, Hives, Tremors, Increased heart rate"
82,Atorva 20 Tablet,High cholesterol,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
82,Atorva 20 Tablet,Heart attack,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
83,AB Phylline SR 200 Tablet,Asthma,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
83,AB Phylline SR 200 Tablet,Bronchitis,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
83,AB Phylline SR 200 Tablet,Chronic obstructive pulmonary disease ,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
84,Aricep-M  Forte Tablet,Alzheimer's disease,"Nausea, Vomiting, Loss of appetite, Diarrhea, Headache, Dizziness, Bleeding under the skin"
85,Amaryl 1mg Tablet,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Headache, Nausea, Dizziness, Weakness"
86,Add Tears Lubricant Eye Drop,Dry eyes,"Eye irritation, Burning eyes, Eye discomfort, Eye itching, Eye pain"
87,Aceclo-MR Tablet,Muscular pain,"Nausea, Vomiting, Heartburn, Stomach pain, Diarrhea, Loss of appetite, Tiredness, Sleepiness"
88,Atarax Drops,Anxiety,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
88,Atarax Drops,Skin conditions with inflammation & itching,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
89,Ambrodil-LX Syrup,Cough with mucus,"Nausea, Vomiting, Diarrhea, Upset stomach, Stomach pain, Allergic reaction, Dizziness, Headache, Rash, Hives, Tremors, Palpitations, Muscle cramp, Increased heart rate"
90,Asthakind-LS Expectorant Cola Sugar Free,Cough with mucus,"Nausea, Vomiting, Diarrhea, Upset stomach, Stomach pain, Allergic reaction, Dizziness, Headache, Rash, Hives, Tremors, Palpitations, Muscle cramp, Increased heart rate"
91,Acton-OR Tablet SR,"Pain relief, Fever",No common side effects seen
92,Avamys Nasal Spray,Sneezing and runny nose due to allergies,"Nasal inflammation, Headache, Nosebleeds, Nasal ulceration, Breathlessness"
93,AB Phylline N Tablet,Chronic obstructive pulmonary disease ,"Vomiting, Heartburn, Stomach pain, Upset stomach, Rash, Hives, Itching, Breathing problems, Nasal inflammation, Increased white blood cell count"
94,Acenac-P  Tablet,Pain relief,"Nausea, Vomiting, Stomach pain epigastric pain, Loss of appetite, Heartburn, Diarrhea"
95,Aldactone 50 Tablet,"Hypertension , Edema, Low potassium, Heart failure","Nausea, Vomiting, Leg cramps, Dizziness, Drowsiness, Confusion, Breast enlargement in male, Increased creatinine level in blood"
96,Alerid Tablet,Allergic conditions,"Sleepiness, Fatigue, Vomiting, Dryness in mouth, Headache, Constipation"
97,Aerocort Inhaler,Asthma,"Hoarseness of voice, Headache, Dizziness, Pharyngitis, Vomiting, Bronchitis inflammation of the airways, Dryness in mouth, Cough, Application site irritation, Nausea, Gastrointestinal motility disorder, Thrush, Throat irritation"
98,Acemiz-S Tablet,Pain relief,"Nausea, Vomiting, Stomach pain, Indigestion, Heartburn, Loss of appetite, Diarrhea"
99,Asthalin Respules,"Chronic obstructive pulmonary disease , Treatment and prevention of, Asthma","Tremors, Headache, Palpitations, Increased heart rate, Muscle cramp, Respiratory tract inflammation, Respiratory tract infection, Cough"
100,Azeflo Nasal Spray,Sneezing and runny nose due to allergies,"Taste change, Nosebleeds, Headache, Cough, Upper respiratory tract infection, Dryness in mouth, Nasopharyngitis inflammation of the throat and nasal passages, Sinus inflammation, Stomach discomfort, Fungal infection of oropharynx, Tremors, Palpitations, Voice change"
101,Ace Proxyvon Tablet,Pain relief,"Nausea, Vomiting, Stomach pain epigastric pain, Loss of appetite, Heartburn, Diarrhea"
102,Antiflu 75mg Capsule,Influenza ,"Nausea, Vomiting, Abdominal pain, Diarrhea"
103,Augmentin 375 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
104,Admenta 5 Tablet,Alzheimer's disease,"Dizziness, Headache, Confusion, Constipation"
105,Azmarda 50mg Tablet,Heart failure,"Dizziness, Increased potassium level in blood, Fatigue, Hypotension low blood pressure"
106,Alerid-D Tablet,Sneezing and runny nose due to allergies,"Dryness in mouth, Headache, Vomiting, Sleepiness, Fatigue, Constipation, Diarrhea"
107,Aldosmin 500mg Tablet,Varicose veins,"Diarrhea, Dizziness, Hives, Itching, Nausea, Erythema skin redness, Stomach pain"
108,Allercet-DC Tablet,Sneezing and runny nose due to allergies,"Dryness in mouth, Headache, Vomiting, Sleepiness, Fatigue, Constipation, Diarrhea"
109,Amlip 5 Tablet,Hypertension ,"Headache, Fatigue, Nausea, Abdominal pain, Sleepiness"
109,Amlip 5 Tablet,Angina ,"Headache, Fatigue, Nausea, Abdominal pain, Sleepiness"
110,Acitrom 1 Tablet,"Treatment and prevention of, Blood clots",Hemorrhage
111,AF 400 Tablet,Fungal infections,"Headache, Nausea, Stomach pain"
112,Amlopres-AT Tablet,Hypertension ,"Sleepiness, Headache, Ankle swelling, Flushing sense of warmth in the face ears neck and trunk, Slow heart rate, Palpitations, Nausea, Edema swelling, Constipation, Tiredness, Cold extremities"
113,Aztolet  10 Tablet,Heart attack prevention and high cholesterol,"Stomach pain, Diarrhea, Indigestion, Constipation, Headache, Dizziness, Muscle pain, Weakness, Increased glucose level in blood, Increased liver enzymes"
114,Azikem 500mg Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
115,Amlovas 5 Tablet,Hypertension ,"Headache, Fatigue, Nausea, Abdominal pain, Sleepiness"
115,Amlovas 5 Tablet,Angina ,"Headache, Fatigue, Nausea, Abdominal pain, Sleepiness"
116,Acenac-MR Tablet,Muscular pain,"Nausea, Vomiting, Heartburn, Stomach pain, Diarrhea, Loss of appetite, Dryness in mouth"
117,AF 150 Tablet DT,Fungal infections,"Headache, Nausea, Stomach pain"
118,Atorlip-F Tablet,High cholesterol,"Nausea, Stomach pain, Constipation, Flatulence, Headache, Muscle pain, Increased liver enzymes, Increased glucose level in blood"
118,Atorlip-F Tablet,Heart attack,"Nausea, Stomach pain, Constipation, Flatulence, Headache, Muscle pain, Increased liver enzymes, Increased glucose level in blood"
119,A-Ret 0.1% Gel,"Acne, Acute promyelocytic leukaemia","Erythema skin redness, Skin irritation, Dry skin, Dry lips, Pale red skin, Increased sensitivity to light"
120,Apdrops PD Eye Drop,Bacterial infections,"Eye irritation, Eye discomfort, Blurred vision"
121,AB-Flo Capsule,Asthma,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
121,AB-Flo Capsule,Bronchitis,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
121,AB-Flo Capsule,Chronic obstructive pulmonary disease ,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
122,Amantrel Tablet,Parkinson's disease,"Nausea, Dryness in mouth, Constipation, Dizziness, Blurred vision, Insomnia difficulty in sleeping, Hallucination, Peripheral edema, Balance disorder loss of balance, Orthostatic hypotension sudden lowering of blood pressure on standing"
123,Azithral XL 200 Liquid,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
124,Aquazide 12.5 Tablet,Hypertension ,"Headache, Nausea, Altered blood lipid level, Weakness, Dizziness"
124,Aquazide 12.5 Tablet,Edema,"Headache, Nausea, Altered blood lipid level, Weakness, Dizziness"
125,A-Ret 0.05% Gel,"Acne, Acute promyelocytic leukaemia","Erythema skin redness, Skin irritation, Dry skin, Dry lips, Pale red skin, Increased sensitivity to light"
126,Althrocin 250 Tablet,Bacterial infections,"Vomiting, Nausea, Abdominal pain, Diarrhea"
127,Alkasol Oral Solution Sugar Free,Gout,"Stomach pain, Tiredness, Diarrhea, Nausea, Vomiting, Frequent urge to urinate"
127,Alkasol Oral Solution Sugar Free,Kidney stone,"Stomach pain, Tiredness, Diarrhea, Nausea, Vomiting, Frequent urge to urinate"
128,Ajaduo 25mg/5mg Tablet,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Cough, Nasopharyngitis inflammation of the throat and nasal passages, Urinary tract infection, Nausea, Vomiting, Constipation, Genital fungal infection"
129,Aldosmin 1000mg Tablet,Varicose veins,"Diarrhea, Dizziness, Hives, Itching, Nausea, Erythema skin redness, Stomach pain"
130,Allegra Nasal Spray,Sneezing and runny nose due to allergies,"Nasal inflammation, Headache, Nosebleeds, Nasal ulceration, Breathlessness"
131,Advent Forte 457mg Syrup Tangy Orange,"Resistant, Tuberculosis ","Abdominal pain, Allergy, Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
131,Advent Forte 457mg Syrup Tangy Orange,Bacterial infections,"Abdominal pain, Allergy, Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
132,Andial 2mg Tablet,Diarrhea,"Constipation, Nausea, Headache, Stomach pain"
133,Alkof DX Syrup,Dry cough,"Upset stomach, Sleepiness"
134,Anafortan Syrup,Abdominal pain,"Dryness in mouth, Constipation, Blurred vision, Increased heart rate"
135,Amlodac 5 Tablet,Hypertension ,"Headache, Fatigue, Nausea, Abdominal pain, Sleepiness"
135,Amlodac 5 Tablet,Angina ,"Headache, Fatigue, Nausea, Abdominal pain, Sleepiness"
136,Acivir 800 DT Tablet,"Herpes, Simplex, Virus, Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection","Headache, Dizziness, Vomiting, Nausea, Fatigue, Fever, Stomach pain, Diarrhea, Skin rash, Photophobia"
137,Amaryl 2mg Tablet,Type 2 diabetes mellitus,"Hypoglycemia low blood glucose level, Headache, Nausea, Dizziness, Weakness"
138,Alaspan AM Tablet,Cough,"Upset stomach, Headache, Sleepiness, Allergic reaction"
139,Anabel Liquid Gel,Mouth ulcers,No common side effects seen
140,Air-M Tablet,Sneezing and runny nose due to allergies,"Nausea, Diarrhea, Vomiting, Skin rash, Flu like symptoms, Headache, Drowsiness, Dizziness"
141,Aziderm 10% Cream,Acne,Application site reactions burning irritation itching and redness
142,Ace-Proxyvon CR Tablet,Pain relief,"Nausea, Flatulence, Indigestion, Diarrhea, Constipation"
143,Aten 50 Tablet,Hypertension ,"Fatigue, Slow heart rate, Cold extremities, Gastrointestinal disturbance"
143,Aten 50 Tablet,Angina ,"Fatigue, Slow heart rate, Cold extremities, Gastrointestinal disturbance"
143,Aten 50 Tablet,Arrhythmia,"Fatigue, Slow heart rate, Cold extremities, Gastrointestinal disturbance"
143,Aten 50 Tablet,Heart attack,"Fatigue, Slow heart rate, Cold extremities, Gastrointestinal disturbance"
144,Asthalin 4 Tablet,"Chronic obstructive pulmonary disease , Treatment and prevention of, Asthma","Tremors, Headache, Palpitations, Increased heart rate, Muscle cramp, Nervousness"
145,Azithral Eye Ointment,Bacterial eye infections,Burning eyes
146,Aziwok 500 Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
147,Ambrolite-S Expectorant,Cough,"Nausea, Diarrhea, Vomiting, Dizziness, Headache, Rash, Tremors, Increased heart rate, Upper abdominal pain, Urticaria, Itching, Sweating, Changes in serum aminotransferase levels, Bloating, Indigestion"
148,AB-Flo SR Tablet,Asthma,"Vomiting, Abdominal pain, Drowsiness, Heartburn, Increased white blood cell count, Loss of appetite, Rash, Itching, Constipation, Diarrhea, Abdominal discomfort, Abdominal distension, Esophageal bleeding, Red spots or bumps, Breathing problems, High white blood cell count, Nasal inflammation"
